,fid,max0,max1,max2,mean0,mean1,mean2,min0,min1,min2,std0,std1,std2
0,t330,251,254,255,23.187545776367188,26.965560913085938,74.10079956054688,0,1,20,35.3644149363973,37.62819422771894,24.827810370987898
0,t331,253,254,255,28.654312133789062,34.67124938964844,73.21762084960938,0,0,43,39.639114021037194,42.64955520453398,29.23950275385627
0,t332,254,255,255,33.62321472167969,38.99169921875,77.54519653320312,0,0,45,49.20672829392468,52.73042888655393,37.19189593894283
0,t333,238,251,252,20.976272583007812,23.48529052734375,72.90841674804688,0,0,45,30.48608183527213,33.244109314873015,21.429393538545057
0,t334,253,255,255,36.49650573730469,40.39823913574219,86.16728210449219,0,1,51,50.35184996763451,54.49830657803039,35.41899281424921
0,t335,250,255,255,25.143356323242188,26.248641967773438,83.17918395996094,1,0,56,35.5478116650596,39.065049795518675,23.391995814417694
0,t336,252,253,254,19.333145141601562,21.48895263671875,78.6153564453125,0,0,52,26.322734356949724,30.178688422284992,16.835487915107883
0,t337,250,254,254,23.022125244140625,25.051834106445312,74.21138000488281,0,0,46,35.90865561152474,38.39122454975239,25.6851240492274
0,t338,246,252,255,21.661300659179688,24.801651000976562,78.072265625,0,0,41,33.10518111294932,35.422629848785625,23.69906768574629
0,t339,254,254,255,18.565933227539062,20.69891357421875,71.59864807128906,0,0,45,27.828805762253907,31.09383366102676,20.548966980085787
0,t34,255,255,255,54.103973388671875,61.20814514160156,134.2340850830078,0,0,68,65.99234398165177,67.60435000673719,41.19165646052607
0,t340,255,254,255,22.726593017578125,24.383956909179688,79.30931091308594,0,0,55,33.25401960899112,36.99855564335495,21.86997743626538
0,t341,251,253,254,20.213134765625,22.331939697265625,76.01936340332031,0,0,45,30.2192334636449,33.18751769762176,20.74682093811252
0,t342,245,255,255,24.9619140625,27.361968994140625,89.23109436035156,0,0,62,35.04033994185361,39.248042038893274,22.34711959537717
0,t343,248,255,255,21.202163696289062,24.538909912109375,73.30227661132812,0,0,43,35.620167086944114,39.051222352442586,24.92678178954209
0,t344,250,255,255,26.398361206054688,28.936569213867188,80.67025756835938,1,1,45,36.53213068836442,39.96144445361742,26.189177543730864
0,t345,251,255,255,26.241622924804688,30.1405029296875,83.25270080566406,1,0,56,37.44908304779969,41.12093330827434,24.705801915425898
0,t346,249,255,255,21.714553833007812,24.966049194335938,83.03730773925781,1,1,36,28.439645447956554,31.820670097641123,19.295245923208224
0,t347,242,253,255,17.418045043945312,20.5755615234375,72.34747314453125,0,1,40,20.043727306378017,23.03742120037739,13.996625952299905
0,t348,243,252,253,27.1026611328125,28.909561157226562,85.07101440429688,0,0,38,39.680432229283326,42.20802180426364,25.99121928466614
0,t349,250,253,255,24.637451171875,28.723388671875,79.90324401855469,0,0,50,34.44615368455127,36.79811519063591,23.848469628814758
0,t35,255,239,253,48.93304443359375,56.448272705078125,133.6516571044922,0,0,71,65.22215292960237,66.08602646819764,41.40990562430761
0,t350,253,255,255,21.458038330078125,25.431320190429688,83.64627075195312,1,1,55,30.785455030184675,33.24797863595208,21.117274154324935
0,t351,248,252,254,18.444976806640625,20.866943359375,69.51934814453125,0,0,45,29.032496584796828,31.0304715298048,20.30950303407496
0,t352,255,255,255,33.247589111328125,40.18486022949219,87.20356750488281,0,0,55,48.353722694949525,51.42117490560762,33.32584243154151
0,t353,252,255,255,35.46217346191406,43.141754150390625,75.52815246582031,0,0,31,43.12706350999119,46.82768398137661,32.960669935765104
0,t354,246,255,255,21.88299560546875,24.9947509765625,77.10186767578125,1,2,44,30.285731578857103,34.06302998134859,20.9245973578456
0,t355,251,255,255,19.388809204101562,23.342056274414062,85.89540100097656,0,1,42,27.658191953986222,30.483286076948453,17.76128704436294
0,t356,249,255,255,31.62921142578125,38.79411315917969,80.29409790039062,0,0,36,42.66954953743665,47.32236247405003,31.0286702033627
0,t357,249,254,255,28.418121337890625,35.855316162109375,74.37969970703125,0,1,36,32.7383883650396,36.571591774050994,23.075986497645374
0,t358,247,254,255,21.708480834960938,25.50628662109375,69.50895690917969,0,0,18,35.32761782446717,38.984154521293824,25.91727690247189
0,t359,252,254,255,31.287277221679688,37.885589599609375,69.30874633789062,0,0,35,42.932779409766944,45.83304952558765,33.623744065119396
0,t36,255,255,255,57.02946472167969,68.25822448730469,144.13967895507812,0,2,64,68.42015201158343,69.5776840944506,41.879652511416666
0,t360,255,254,255,23.023910522460938,27.351593017578125,71.99388122558594,0,0,42,33.71953412174465,35.519670778778384,23.376729334990813
0,t361,251,255,255,28.794662475585938,33.454071044921875,76.65400695800781,1,1,36,39.633702575409586,43.08993524522096,28.864094474374824
0,t362,251,255,255,31.674667358398438,38.181243896484375,75.45880126953125,1,1,36,40.02964763217505,43.03071618241406,29.276175698907117
0,t363,249,254,254,21.455322265625,24.064865112304688,71.43974304199219,0,0,38,33.8467312210392,35.660947473663036,23.186810356729396
0,t364,252,255,255,33.156463623046875,39.70069885253906,78.86656188964844,2,1,37,38.03189507584975,41.90438790081157,27.434021215934965
0,t365,247,253,254,21.920364379882812,25.316299438476562,72.63046264648438,0,0,44,37.110276177729325,39.69601256458291,27.367843331883083
0,t366,254,255,255,20.942230224609375,23.512405395507812,74.4720458984375,0,0,47,32.911286211042565,34.952635168711126,22.974023093983632
0,t367,251,254,254,22.055801391601562,23.318511962890625,85.76567077636719,1,0,50,26.252994892372815,29.54285160391959,15.966428061543503
0,t368,252,255,255,31.19085693359375,37.74549865722656,72.62905883789062,0,0,39,40.91876635586632,43.608617496546266,31.109034702244056
0,t369,248,253,254,19.027267456054688,22.752838134765625,72.79782104492188,0,0,46,28.956109942370183,31.569693465947026,20.62923619228678
